1,0.01,0.01,0.01,0,7,9,3,6.333333333,0.01,3,0.01,3
2,8,0.01,1,3.003333333,0.01,6,1,2.336666667,0.01,1,1,0.67
3,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,1,0.34
4,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,3,1.006666667
5,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,2,0.673333333
6,0.01,0.01,0.01,0,0.01,1,2,1.003333333,0.01,0.01,3,1.006666667
7,0.01,0.01,0.01,0,0.01,0.01,0.01,0,2,0.01,2,1.336666667
8,0.01,0.01,0.01,0,0.01,3,0.01,1.006666667,2,0.01,0.01,0.673333333
9,0.01,6,0.01,2.006666667,0.01,0.01,0.01,0,2,0.01,0.01,0.673333333
10,8,2,8,6,0.01,6,1,2.336666667,0.01,2,3,1.67
11,4,3,6,4.333333333,1,1,11,4.333333333,0.01,0.01,1,0.34
12,1,3,0.01,1.336666667,0.01,0.01,0.01,0,4,0.01,5,3.003333333
13,0.01,0.01,3,1.006666667,1,0.01,0.01,0.34,0.01,1,0.01,0.34
14,11,2,8,7,6,0.01,2,2.67,0.01,1,6,2.336666667
15,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
16,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,1,0.01,0.34
17,6,6,2,4.666666667,0.01,0.01,0.01,0,0.01,0.01,0.01,0
18,6,0.01,0.01,2.006666667,0.01,0.01,0.01,0,0.01,0.01,0.01,0
19,6,0.01,0.01,2.006666667,0.01,0.01,0.01,0,0.01,0.01,0.01,0
20,0.01,0.01,0.01,0,4,0.01,2,2.003333333,3,2,2,2.333333333
21,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
22,0.01,2,0.01,0.673333333,0.01,0.01,0.01,0,0.01,0.01,0.01,0
23,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
24,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
25,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
26,0.01,1,0.01,0.34,0.01,0.01,0.01,0,0.01,0.01,0.01,0
27,0.01,0.01,2,0.673333333,0.01,0.01,0.01,0,0.01,0.01,0.01,0
28,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,1,0.34
29,1,3,0.01,1.336666667,0.01,0.01,0.01,0,0.01,0.01,1,0.34
30,0.01,0.01,0.01,0,0.01,1,3,1.336666667,0.01,0.01,0.01,0
31,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
32,0.01,0.01,1,0.34,0.01,0.01,0.01,0,1,1,2,1.333333333
33,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,8,0.01,2.673333333
34,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
35,0.01,0.01,0.01,0,0.01,0.01,0.01,0,2,0.01,0.01,0.673333333
36,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
37,7,0.01,2,3.003333333,0.01,1,3,1.336666667,0.01,0.01,0.01,0
38,3,0.01,0.01,1.006666667,0.01,0.01,0.01,0,0.01,0.01,0.01,0
39,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,2,0.01,0.673333333
40,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
41,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
42,0.01,2,0.01,0.673333333,0.01,4,2,2.003333333,0.01,0.01,0.01,0
43,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
44,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
45,0.01,0.01,1,0.34,0.01,0.01,0.01,0,0.01,0.01,0.01,0
46,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
47,6,6,0.01,4.003333333,0.01,1,1,0.67,6,10,1,5.666666667
48,6,6,2,4.666666667,0.01,0.01,0.01,0,0.01,0.01,0.01,0
49,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
50,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
51,6,0.01,0.01,2.006666667,0.01,0.01,0.01,0,0.01,0.01,0.01,0
52,0.01,0.01,7,2.34,0.01,1,6,2.336666667,0.01,0.01,0.01,0
53,0.01,0.01,0.01,0,0.01,0.01,0.01,0,5,0.01,0.01,1.673333333
54,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
55,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
56,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
57,4,1,1,2,0.01,1,0.01,0.34,8,1,1,3.333333333
58,0.01,0.01,2,0.673333333,0.01,0.01,0.01,0,0.01,0.01,0.01,0
59,0.01,1,0.01,0.34,0.01,0.01,0.01,0,0.01,0.01,0.01,0
